"source_name","platform_product_name","normalized_name","source_name_en","gender_scope","style_no","brand_name","category_name","attributes"
무신사,우먼즈 울 텐셀 슬림 스쿱 넥 긴소매 티셔츠 [그레이쉬 베이지],우먼즈 울 텐셀 슬림 스쿱 넥 긴소매 티셔츠 [그레이쉬 베이지],우먼즈 울 텐셀 슬림 스쿱 넥 긴소매 티셔츠,W,MWFTL9A09-GI,가까이 유니언즈,상의,"{""tags"": [""긴소매티셔츠"", ""긴팔티셔츠"", ""스쿱넥"", ""슬림티셔츠"", ""여자긴팔"", ""티셔츠""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""슬림""], ""계절"": [""봄"", ""여름""], ""두께"": [""약간 얇음""], ""비침"": [""없음""], ""촉감"": [""약간 부드러움""], ""신축성"": [""있음""]}}"
무신사,T-Logo Tee Heather Grey,t-logo tee heather grey,T-Logo Tee Heather Grey,"M,W",TN260TTSST01HGR,그루브스텝,기타 상의,"{""tags"": [""LOGO"", ""남성반팔"", ""남자반팔"", ""반팔"", ""반팔티셔츠"", ""여성반팔"", ""여자반팔""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,홀스 래빗 롱슬리브 (네이비),홀스 래빗 롱슬리브 (네이비),,W,T26SLS05NV,글런든,상의,"{""tags"": [""긴소매티셔츠"", ""긴팔티"", ""래빗롱슬리브"", ""롱슬리브"", ""롱슬리브티"", ""말티셔츠"", ""홀스롱슬리브""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,드라이어 프리 롱슬리브 (4 Color),드라이어 프리 롱슬리브 (4 color),Dryer-Free Long Sleeve _3 Color,"M,W",T25WLS03WH,글런든,상의,"{""tags"": [], ""season"": ""2"", ""season_year"": 0, ""source_attributes"": {""핏"": [""레귤러""], ""계절"": [""봄"", ""여름"", ""가을""], ""두께"": [""보통""], ""비침"": [""보통""], ""촉감"": [""보통""], ""신축성"": [""보통""]}}"
무신사,와플 롱 슬리브 폴로 티 - 블랙 / KQ6866,와플 롱 슬리브 폴로 티 - 블랙 / kq6866,WAFFLE LS POLO BLACK,"M,W",KQ6866,고저,상의,"{""tags"": [""긴팔티"", ""롱슬리브"", ""롱슬리브추천"", ""무배당발"", ""무신사단독"", ""와플"", ""와플롱슬리브"", ""와플컬렉션"", ""폴로긴팔티""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,베이직 우먼 티셔츠 (8colors),베이직 우먼 티셔츠 (8colors),,W,"93262TTS1203",닉앤니콜,기타 상의,"{""tags"": [""BASIC"", ""무지티"", ""반팔"", ""반팔티"", ""여름반소매"", ""여름반팔티"", ""여자반팔"", ""티셔츠""], ""season"": ""1"", ""season_year"": 0, ""source_attributes"": {}}"
무신사,USA LOGO V NECK LONG SLEEVE_GREY,usa logo v neck long sleeve_grey,USA LOGO V NECK LONG SLEEVE_GREY,W,GL26SPTP12GY,기준 맨,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""레이어드티셔츠"", ""롱슬리브"", ""롱슬리브티""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,(남성) 왈라비 GTX - 블랙 스웨이드 / 26179251,(남성) 왈라비 gtx - 블랙 스웨이드 / 26179251,(M) Wallabee GTX - Black Suede / 26179251,M,"26179251",뉴에라,기타 팬츠,"{""tags"": [""고어텍스"", ""모카신"", ""모카신추천"", ""왈라비"", ""왈라비추천"", ""클락스신발"", ""클락스왈라비"", ""클락스추천""], ""season"": ""1"", ""season_year"": 0, ""source_attributes"": {}}"
무신사,언타이틀 크레스트 폴로 크롭 반팔 핑크,언타이틀 크레스트 폴로 크롭 반팔 핑크,Untitled Crest Polo Crop Short Sleeve Pink,"M,W",UN26RS14,금강,기타 상의,"{""tags"": [""반소매티셔츠"", ""반팔"", ""반팔티셔츠"", ""여름반팔"", ""여름티셔츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,[오헤시오 컬래버] 레이어드 긴소매 티셔츠  [플럼],[오헤시오 컬래버] 레이어드 긴소매 티셔츠 [플럼],[오헤시오 컬래버] 레이어드 긴소매 티셔츠  [플럼],W,MWFTL9D61-PC,가까이 유니언즈,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""레이어드"", ""레이어드티셔츠"", ""오헤시오컬래버"", ""프린트"", ""플라워""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""레귤러""], ""계절"": [""봄"", ""가을"", ""겨울""], ""두께"": [""보통""], ""비침"": [""거의 없음""], ""촉감"": [""약간 부드러움""], ""신축성"": [""있음""]}}"
무신사,[주영X유희] FLOWER BUTTON LONG SLEEVE_LIGHT GREY,[주영x유희] flower button long sleeve_light grey,FLOWER BUTTON LONG SLEEVE_LIGHT GREY,W,YHLTGC006LG,길단,상의,"{""tags"": [""26FALL"", ""그래픽티셔츠"", ""긴팔티"", ""긴팔티셔츠"", ""롱슬리브"", ""버튼티셔츠"", ""유희주영에디션"", ""주영"", ""티셔츠"", ""플라워""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,[주영X유희] LACE LAYERED LONG SLEEVE_NAVY,[주영x유희] lace layered long sleeve_navy,LACE LAYERED LONG SLEEVE_NAVY,W,YHLTGC057NV,길단,상의,"{""tags"": [""26FALL"", ""긴팔티"", ""긴팔티셔츠"", ""레이스"", ""레이어드"", ""레이어드티셔츠"", ""롱슬리브"", ""유희주영에디션"", ""주영"", ""티셔츠""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,와플 스냅 긴팔 티셔츠_MIWLWG934A,와플 스냅 긴팔 티셔츠_miwlwg934a,와플 스냅 긴팔 티셔츠_MIWLWG934A,W,MIWLWG934A,길영,상의,"{""tags"": [], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,싱글 유니콘 헨리넥 롱슬리브 그레이,싱글 유니콘 헨리넥 롱슬리브 그레이,SINGLE UNICORN HENLEY NECK LONG SLEEVE GRAY,"M,W",UN26LS17,금강,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""티셔츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,믹스 패치 박시 Lst (Black),믹스 패치 박시 lst (black),Mixed Patch Boxy Lst (Black),W,"251MPBTOP001",길프,상의,"{""tags"": [""긴소매티"", ""긴팔티"", ""롱슬리브"", ""롱슬리브티"", ""티셔츠""], ""season"": ""1"", ""season_year"": 0, ""source_attributes"": {}}"
무신사,우먼즈 울 텐셀 슬림 스쿱 넥 긴소매 티셔츠 [차콜 그레이],우먼즈 울 텐셀 슬림 스쿱 넥 긴소매 티셔츠 [차콜 그레이],우먼즈 울 텐셀 슬림 스쿱 넥 긴소매 티셔츠,W,MWFTL9A09-CG,가까이 유니언즈,상의,"{""tags"": [""긴소매티셔츠"", ""긴팔티셔츠"", ""소올PICK"", ""스쿱넥"", ""슬림티셔츠"", ""여자긴팔"", ""티셔츠""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""슬림""], ""계절"": [""봄"", ""여름""], ""두께"": [""약간 얇음""], ""비침"": [""없음""], ""촉감"": [""약간 부드러움""], ""신축성"": [""있음""]}}"
무신사,픽셀 로고 박시 LST (Grey),픽셀 로고 박시 lst (grey),Pixel Logo Boxy LST (Grey),W,"261PLBTOP010",길프,상의,"{""tags"": [""긴소매"", ""긴팔"", ""긴팔티셔츠"", ""레이어드"", ""롱슬리브티"", ""롱슬리브티셔츠"", ""여성티셔츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,TAG OG LONGSLEEVE,tag og longsleeve,TAG OG LONGSLEEVE,"M,W",BLFMLTS01,기프트오리지널,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""롱슬리브"", ""롱슬리브티"", ""롱슬리브티셔츠"", ""티셔츠""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,하프캡 데콘 - 블랙:블랙 / VN000EATBKA1,하프캡 데콘 - 블랙:블랙 / vn000eatbka1,HALF CAB DECON - BLACK/BLACK,"M,W",VN000EATBKA1,누브,블레이저/슈트 재킷,"{""tags"": [""기본아이템"", ""남녀공용운동화"", ""데일리슈즈"", ""미드탑운동화"", ""반스보드화"", ""반스하프캡"", ""스웨이드단화"", ""스트릿패션"", ""올블랙스니커즈"", ""하프캡디콘""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,보울러 스니커즈 R25M200 (워싱 블랙),보울러 스니커즈 r25m200 (워싱 블랙),,"M,W",R25M200WBK,더 건프,블레이저/슈트 재킷,"{""tags"": [""808/블랙/3홀/포스/척/플랫폼"", ""구두/스니커즈/스웨이드/818"", ""더비/보울러/뮬/와이드/8홀"", ""레인저/부츠/로퍼/키높이/우든"", ""로맨틱무브/목토/슈즈/6인치"", ""베스트아이템"", ""여자/레더/597/스피드캣"", ""운동화/구동화/커플/남자""], ""season"": ""1"", ""season_year"": 0, ""source_attributes"": {}}"
무신사,[이핏 X 로맨틱무브] 라스트 스탠드 첼시 부츠 R26M301 / 블랙,[이핏 x 로맨틱무브] 라스트 스탠드 첼시 부츠 r26m301 / 블랙,[이핏 X 로맨틱무브] 라스트 스탠드 첼시 부츠 / 블랙,M,R26M301,더 건프,롱 패딩,"{""tags"": [""가죽부츠"", ""남자수제화"", ""라운드토"", ""앵클부츠"", ""첼시"", ""첼시부츠"", ""키높이""], ""season"": ""0"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,[SET]빈티지 배색 레이어드 긴팔 티셔츠 세트-네이비/멜란지,[set]빈티지 배색 레이어드 긴팔 티셔츠 세트-네이비/멜란지,[SET] Vintage Color-Block Layered Long Sleeve T Shirt Homewear Set - Navy/Melange,"M,W","5015030097",고목,상의,"{""tags"": [""긴팔티"", ""긴팔티셔츠"", ""데일리룩"", ""레이어드"", ""롱슬리브티"", ""여자긴팔"", ""티셔츠""], ""season"": ""2"", ""season_year"": 0, ""source_attributes"": {""핏"": [""슬림"", ""레귤러""], ""계절"": [""봄"", ""여름"", ""가을"", ""겨울""], ""두께"": [""보통""], ""비침"": [""없음""], ""촉감"": [""보통""], ""신축성"": [""보통""]}}"
무신사,Double High Neck Long Sleeve (Charcoal),double high neck long sleeve (charcoal),Double High Neck Long Sleeve (Charcoal),"M,W",AK26TOP74CH,꼼데가르송,상의,"{""tags"": [""남자롱슬리브"", ""남자후드"", ""롱슬리브"", ""여자롱슬리브"", ""여자후드"", ""후드""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,와플 3S 티 - 원더화이트 / KW7436,와플 3s 티 - 원더화이트 / kw7436,WAFFLE 3S TEE WONWHI,"M,W",KW7436,고저,기타 상의,"{""tags"": [""무배당발"", ""무신사단독"", ""무신사에디션"", ""반소매티셔츠"", ""반팔"", ""반팔티"", ""아디다스와플"", ""와플반팔"", ""와플컬렉션"", ""티셔츠추천""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,BUTTON SLIT HENLEY KNIT GREY,button slit henley knit grey,BUTTON SLIT HENLEY KNIT GREY,"M,W",SC3KT01GY,기호,상의,"{""tags"": [""긴소매티셔츠"", ""긴팔티"", ""긴팔티셔츠"", ""레이어드티셔츠"", ""롱슬리브"", ""헨리넥""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""슬림""], ""계절"": [""봄"", ""여름"", ""가을""], ""두께"": [""약간 얇음""], ""촉감"": [""부드러움""], ""신축성"": [""약간 있음""]}}"
무신사,[주영X유희] LACE LAYERED LONG SLEEVE_PINK,[주영x유희] lace layered long sleeve_pink,LACE LAYERED LONG SLEEVE_PINK,W,YHLTGC057PK,길단,상의,"{""tags"": [""26FALL"", ""긴팔티"", ""긴팔티셔츠"", ""레이스"", ""레이어드"", ""레이어드티셔츠"", ""롱슬리브"", ""유희주영에디션"", ""주영"", ""티셔츠""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,TCM alphabet T (lemon),tcm alphabet t (lemon),TCM alphabet T (lemon),W,"26051824",까롯,기타 상의,"{""tags"": [], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,(W) 3PACK T-SHIRT SET B (WH/PB/CH),(w) 3pack t-shirt set b (wh/pb/ch),(W) 3PACK T-SHIRT SET B (WH/PB/CH),W,m1037_1662861,다이어스,기타 상의,"{""tags"": [""26SS""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,(w) TCM mix panel long sleeve (navy),(w) tcm mix panel long sleeve (navy),(w) TCM mix panel long sleeve (navy),"M,W",ETCFWLS02NV,까롯,상의,"{""tags"": [], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,에어 맥스 모토 2K M - 오프 화이트:메탈릭 실버:하이퍼 터콰이즈:블랙 / IR1476-101,에어 맥스 모토 2k m - 오프 화이트:메탈릭 실버:하이퍼 터콰이즈:블랙 / ir1476-101,AIR MAX MOTO 2K - OFF WHITE/BLACK-METALLIC SILVER,M,IR1476-101,내셔널지오그래픽,블레이저/슈트 재킷,"{""tags"": [""나이키모토"", ""모토2K"", ""에어맥스"", ""에어맥스모토""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,플리스 후디 자켓 LD4967,플리스 후디 자켓 ld4967,플리스 후디 자켓 LD4967,W,LD4967,고저,블루종/MA-1,"{""tags"": [""ADIDASORIGINALSBYJENNIE"", ""아디다스제니"", ""제니"", ""제니컬렉션"", ""제니협업"", ""플리스"", ""후드"", ""후디""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,TCM mini logo stripe long sleeve (yellow/grey),tcm mini logo stripe long sleeve (yellow/grey),TCM mini logo stripe long sleeve (yellow/grey),"M,W","25092258",까롯,상의,"{""tags"": [], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,"STRING BOAT NECK JERSEY BLOUSE, WHITE","string boat neck jersey blouse, white","STRING BOAT NECK JERSEY BLOUSE, WHITE",W,"26FW-120010MA-01",나일론스튜디오,데님 재킷,"{""tags"": [], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,우먼즈 울 텐셀 레이어드 슬림 긴소매 티셔츠 [그레이쉬 베이지],우먼즈 울 텐셀 레이어드 슬림 긴소매 티셔츠 [그레이쉬 베이지],WOMENS WOOL TENCEL LAYERED SLIM LONG-SLEEVE T-SHIRT [GREYISH BEIGE],W,MWETL8D10-GI,가까이 유니언즈,상의,"{""tags"": [""기본티셔츠"", ""긴팔티셔츠"", ""다다익선"", ""레이어드"", ""레이어드긴소매"", ""레이어드티"", ""롱슬리브"", ""베이식티셔츠"", ""슬림핏티셔츠"", ""티셔츠""], ""season"": ""2"", ""season_year"": 2025, ""source_attributes"": {""핏"": [""슬림""], ""계절"": [""봄"", ""가을"", ""겨울""], ""두께"": [""약간 얇음""], ""비침"": [""약간 있음""], ""촉감"": [""부드러움""], ""신축성"": [""약간 있음""]}}"
지그재그,[ofm] 소르베 린넨 브이넥 니트 (knit)(린넨12%)(라이오셀28%) *뉴 컬러 추가 ♡,[ofm] 소르베 린넨 브이넥 니트 (knit)(린넨12%)(라이오셀28%) *뉴 컬러 추가 ♡,,,,디미트리블랙,,"{""shop_name"": ""메리어라운드""}"
무신사,Raglan Campus Logo Long Top - Grey(Navy),raglan campus logo long top - grey(navy),Raglan Campus Logo Long Top - Grey(Navy),W,S5WTS02GRF,꼼소넛,상의,"{""tags"": [""그래픽티셔츠"", ""긴소매"", ""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""티셔츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,CROSS ARRAY L/S TEE - BLACK,cross array l/s tee - black,CROSS ARRAY L/S TEE - BLACK,"M,W",OYBFF1TE011BK,끌레,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""레이어드"", ""롱슬리브"", ""롱슬리브티"", ""롱슬리브티셔츠""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,TCM starfish mini logo long sleeve (pistachio),tcm starfish mini logo long sleeve (pistachio),TCM starfish mini logo long sleeve (pistachio),"M,W",ETCFWLS12PI,까롯,상의,"{""tags"": [], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,로넥 백 레터링 롱 슬리브 티 (4컬러),로넥 백 레터링 롱 슬리브 티 (4컬러),RONEK BACK LETTERING LONG SLEEVE T (4COLOR),W,C-P00000IL,꼼파뇨,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""롱슬리브티"", ""롱슬리브티셔츠"", ""여름티셔츠"", ""티셔츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {""핏"": [""레귤러""], ""계절"": [""봄"", ""가을"", ""겨울""], ""두께"": [""보통""], ""비침"": [""없음""], ""촉감"": [""보통""], ""신축성"": [""보통""]}}"
무신사,BUTTON SLIT HENLEY KNIT BLACK,button slit henley knit black,BUTTON SLIT HENLEY KNIT BLACK,"M,W",SC3KT01BK,기호,상의,"{""tags"": [""긴소매티셔츠"", ""긴팔티"", ""긴팔티셔츠"", ""레이어드티셔츠"", ""롱슬리브"", ""헨리넥""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""슬림""], ""계절"": [""봄"", ""여름"", ""가을""], ""두께"": [""약간 얇음""], ""촉감"": [""부드러움""], ""신축성"": [""약간 있음""]}}"
지그재그,[BEST] [DEMOOR] 무어 라운드 세미크롭 티셔츠 (S/M/L/숏/롱),[best] [demoor] 무어 라운드 세미크롭 티셔츠 (s/m/l/숏/롱),,,,디스이즈네버댓,,"{""shop_name"": ""드무어""}"
무신사,Jacquard Corset Line Pocket Shirt (White),jacquard corset line pocket shirt (white),Jacquard Corset Line Pocket Shirt (White),W,ET26FWTSH37WH,노앙,데님 재킷,"{""tags"": [""7부"", ""데일리셔츠"", ""여름셔츠"", ""여자셔츠"", ""캐주얼셔츠""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,PARTIER Dirt Sweatpants (KHAKI),partier dirt sweatpants (khaki),PARTIER Dirt Sweatpants (KHAKI),"M,W",PDP261PT04CKH,노밍,미니 스커트,"{""tags"": [""26SS"", ""밴딩팬츠"", ""스웨트팬츠"", ""스웻팬츠"", ""트레이닝바지"", ""펀드파""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,스냅 빅와이드 나일론 트랙 팬츠 네이비/화이트,스냅 빅와이드 나일론 트랙 팬츠 네이비/화이트,스냅 빅와이드 트랙 팬츠 네이비/화이트,"M,W","010",노브,미니 스커트,"{""tags"": [""밴딩팬츠"", ""스웻팬츠"", ""와이드팬츠"", ""트랙팬츠"", ""트레이닝바지"", ""트레이닝팬츠"", ""팬츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {""핏"": [""루즈""], ""계절"": [""봄"", ""여름"", ""가을"", ""겨울""], ""두께"": [""약간 얇음""], ""비침"": [""없음""], ""촉감"": [""약간 부드러움""], ""신축성"": [""있음""]}}"
무신사,마운틴 롱슬리브 (화이트/레드),마운틴 롱슬리브 (화이트/레드),Mountain Long Sleeve White/Red,"M,W",T25WLS04WHRD,글런든,상의,"{""tags"": [""긴팔티"", ""긴팔티셔츠"", ""레이어드티셔츠"", ""롱슬리브"", ""여성티셔츠"", ""프린팅티셔츠""], ""season"": ""2"", ""season_year"": 0, ""source_attributes"": {""핏"": [""레귤러""], ""계절"": [""봄"", ""여름"", ""가을""], ""두께"": [""보통""], ""비침"": [""보통""], ""촉감"": [""보통""], ""신축성"": [""보통""]}}"
무신사,"50s RAGLAN GRAPHIC T-SHIRT_NAVY","50s raglan graphic t-shirt_navy","50s RAGLAN GRAPHIC T-SHIRT_NAVY",W,TM26FTS02NA,끌로에,상의,"{""tags"": [""26FALL"", ""26FW"", ""50S"", ""그래픽티"", ""긴팔티"", ""래글런티"", ""레터링티"", ""로고티"", ""롱슬리브"", ""면티""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
