"source_name","platform_product_name","normalized_name","source_name_en","gender_scope","style_no","brand_name","category_name","attributes"
무신사,[10주년기획] ©모두의 커브드 치노 팬츠_6 COLOR,[10주년기획] ©모두의 커브드 치노 팬츠_6 color,EVERYONES CURVED CHINO PANTS,"M,W",DBF1PL02,구찌,롱/맥시 원피스,"{""tags"": [""루즈핏"", ""면바지"", ""아메카지"", ""와이드"", ""워크웨어"", ""캐주얼"", ""코튼""], ""season"": ""0"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""루즈""], ""계절"": [""봄"", ""여름"", ""가을"", ""겨울""], ""두께"": [""보통""], ""비침"": [""없음""], ""촉감"": [""보통""], ""신축성"": [""보통""]}}"
무신사,T-Logo Hoodie Heather Grey,t-logo hoodie heather grey,T-Logo Hoodie Heather Grey,"M,W",TNCO0TSWHO06HGR,그루브스텝,블루종/MA-1,"{""tags"": [""SWEATS"", ""T-LOGOITEM"", ""긴팔"", ""남자후드티"", ""스웻"", ""여자후드티"", ""후드티"", ""후드티셔츠"", ""후디""], ""season"": ""2"", ""season_year"": 0, ""source_attributes"": {}}"
무신사,플리티드 트랙 팬츠 LD8922,플리티드 트랙 팬츠 ld8922,플리티드 트랙 팬츠 LD8922,W,LD8922,고저,미니 스커트,"{""tags"": [""ADIDASORIGINALSBYJENNIE"", ""아디다스제니"", ""제니"", ""제니컬렉션"", ""제니협업"", ""트랙팬츠""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,니트 랩 어라운드 가디건 LD8932,니트 랩 어라운드 가디건 ld8932,니트 랩 어라운드 가디건 LD8932,W,LD8932,고저,후드,"{""tags"": [""ADIDASORIGINALSBYJENNIE"", ""아디다스제니"", ""제니"", ""제니컬렉션"", ""제니협업""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,쉬어 롱 슬리브 티 LD8931,쉬어 롱 슬리브 티 ld8931,쉬어 롱 슬리브 티 LD8931,W,LD8931,고저,상의,"{""tags"": [""ADIDASORIGINALSBYJENNIE"", ""롱슬리브"", ""아디다스제니"", ""제니"", ""제니컬렉션"", ""제니협업""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,[오헤시오 컬래버] 폴라 플리스 스냅 풀오버 [틸 블루],[오헤시오 컬래버] 폴라 플리스 스냅 풀오버 [틸 블루],[오헤시오 컬래버] 폴라 플리스 스냅 풀오버 [틸 블루],W,MWFFEAD61-TU,가까이 유니언즈,니트/스웨터,"{""tags"": [""반오픈"", ""아노락"", ""오헤시오컬래버"", ""폴라플리스"", ""후리스""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""루즈""], ""계절"": [""봄"", ""가을"", ""겨울""], ""두께"": [""약간 두꺼움""], ""비침"": [""거의 없음""], ""촉감"": [""부드러움""], ""신축성"": [""있음""]}}"
무신사,[오헤시오 컬래버] 폴라 플리스 스냅 풀오버 [아이보리],[오헤시오 컬래버] 폴라 플리스 스냅 풀오버 [아이보리],[오헤시오 컬래버] 폴라 플리스 스냅 풀오버 [아이보리],W,MWFFEAD61-IV,가까이 유니언즈,니트/스웨터,"{""tags"": [""반오픈"", ""아노락"", ""오헤시오컬래버"", ""폴라플리스"", ""후리스""], ""season"": ""2"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""루즈""], ""계절"": [""봄"", ""가을"", ""겨울""], ""두께"": [""약간 두꺼움""], ""비침"": [""거의 없음""], ""촉감"": [""부드러움""], ""신축성"": [""있음""]}}"
무신사,PATTERN BLOCK TEE [CHARCOAL],pattern block tee [charcoal],PATTERN BLOCK TEE [CHARCOAL],W,AE46FWLS004CHA,글렌웨이버리03150,상의,"{""tags"": [""롱슬리브티""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,와플 롱 슬리브 폴로 티 - 원더화이트 / KQ6867,와플 롱 슬리브 폴로 티 - 원더화이트 / kq6867,WAFFLE LS POLO WONWHI,"M,W",KQ6867,고저,상의,"{""tags"": [""긴팔"", ""롱슬리브"", ""무배당발"", ""무신사단독"", ""와플"", ""와플컬렉션"", ""와플폴로롱슬리브"", ""폴로긴팔""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,T-Logo L/S Tee White,t-logo l/s tee white,T-Logo L/S Tee White,"M,W",TNCO0TTSLT01WHT,그루브스텝,상의,"{""tags"": [""긴팔"", ""긴팔티"", ""긴팔티셔츠"", ""남자긴팔"", ""로고"", ""여자긴팔""], ""season"": ""0"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,[2PACK] 쿨 코튼 티셔츠 Black+White,[2pack] 쿨 코튼 티셔츠 black+white,COOL COTTON 2-PACK T-SHIRT,"M,W",CO2602STE1BK,그노노이,기타 상의,"{""tags"": [""23S/S정규컬렉션"", ""데일리아이템"", ""로고티셔츠"", ""반팔티셔츠"", ""썸머컬렉션"", ""에센셜라인"", ""오버핏반팔"", ""투팩"", ""투팩티"", ""티셔츠""], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
무신사,니트 랩 어라운드 가디건 LD4840,니트 랩 어라운드 가디건 ld4840,니트 랩 어라운드 가디건 LD4840,W,LD4840,고저,후드,"{""tags"": [""ADIDASORIGINALSBYJENNIE"", ""아디다스제니"", ""제니"", ""제니컬렉션"", ""제니협업""], ""season"": null, ""season_year"": null, ""source_attributes"": {}}"
무신사,나일론 카펜터 와이드 벌룬팬츠 4Color,나일론 카펜터 와이드 벌룬팬츠 4color,Nylon Carpenter Wide Balloon Pants 4Colors,"M,W",MUN107,그라운즈스웻,롱/맥시 스커트,"{""tags"": [""고프코어"", ""나일론팬츠"", ""바지"", ""와이드팬츠"", ""카고바지"", ""카고팬츠"", ""팬츠""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {""핏"": [""오버 사이즈""], ""계절"": [""봄"", ""여름"", ""가을"", ""겨울""], ""두께"": [""보통""], ""비침"": [""없음""], ""촉감"": [""부드러움""], ""신축성"": [""없음""]}}"
무신사,다이마루 배색 레이어드 셔츠_MIWYAG608B MIWYAG91QG,다이마루 배색 레이어드 셔츠_miwyag608b miwyag91qg,다이마루 배색 레이어드 셔츠_MIWYAG608B MIWYAG91QG,W,MIWYAG608B,길영,데님 재킷,"{""tags"": [""SNS트렌드템"", ""나람PICK"", ""베스트아이템""], ""season"": ""1"", ""season_year"": 2026, ""source_attributes"": {}}"
무신사,우먼즈 코튼 커브드 팬츠 (5 colors),우먼즈 코튼 커브드 팬츠 (5 colors),우먼즈 코튼 커브드 팬츠 (5 colors),W,MWFPC4A15,가까이 유니언즈,롱/맥시 원피스,"{""tags"": [""기은세PICK"", ""면팬츠"", ""바지"", ""캐주얼팬츠"", ""커브드"", ""커브드팬츠"", ""코튼팬츠"", ""팬츠"", ""한소희PICK"", ""한소희픽""], ""season"": null, ""season_year"": null, ""source_attributes"": {""핏"": [""루즈""], ""계절"": [""봄"", ""여름"", ""가을"", ""겨울""], ""두께"": [""보통""], ""비침"": [""없음""], ""촉감"": [""보통""], ""신축성"": [""없음""]}}"
무신사,홀스 래빗 롱슬리브 (블랙/레드),홀스 래빗 롱슬리브 (블랙/레드),Horse Rabbit Long Sleeve (Black/Red),W,T26SLS05BKRD,글런든,상의,"{""tags"": [], ""season"": null, ""season_year"": 0, ""source_attributes"": {}}"
